Knowledge Article: Question,Knowledge Article: URL Name,Knowledge Article: Answer
"If my treatment is not on the Cancer Drug List (CDL), will I still be covered under MediShield Life and MediSave?",if-my-treatment-is-not-on-the-cancer-drug-list-cdl-will-i-still-be-covered-under-medishield-life-and-medisave,"MediShield Life and MediSave will only cover treatments on the Cancer Drug List (CDL) from 1 September 2022.   For Integrated Shield Plans (IPs), the CDL will only come into effect from 1 April 2023 onwards, when an existing policy is renewed, or a new policy is purchased. If you have an IP that is being renewed between 1 April 2023 and 30 September 2023, and are on a course of cancer drug treatment as of 31 March 2023, insurers have committed to preserve your current IP coverage until 30 September 2023.   Riders will cover treatments beyond the CDL, though the extent of coverage may vary. Your insurer should inform you of the details of your IP and rider coverage by end 2022."
"If my treatment is not on the Cancer Drug List (CDL), will I still be covered under MediShield Life and MediSave?",if-my-treatment-is-not-on-the-cancer-drug-list-cdl-will-i-still-be-covered-under-medishield-life-and-medisave,"MediShield Life and MediSave will only cover treatments on the Cancer Drug List (CDL) from 1 September 2022.   For Integrated Shield Plans (IPs), the CDL will only come into effect from 1 April 2023 onwards, when an existing policy is renewed, or a new policy is purchased. If you have an IP that is being renewed between 1 April 2023 and 30 September 2023, and are on a course of cancer drug treatment as of 31 March 2023, insurers have committed to preserve your current IP coverage until 30 September 2023.   Riders will cover treatments beyond the CDL, though the extent of coverage may vary. Your insurer should inform you of the details of your IP and rider coverage by end 2022."
What happens if I have to change treatment in the middle of the month? Does it mean that the new treatment is not claimable?,what-happens-if-i-have-to-change-treatment-in-the-middle-of-the-month-does-it-mean-that-the-new-treatment-is-not-claimable,"For patients who have to switch treatment in the middle of the month, both treatments would be claimable up to the higher of the MediShield Life, MediSave and Integrated Shield Plan claim limits applicable for each individual treatment."
My witnesses are residing in a different country from me. Can I appoint them as witnesses for my CPF nomination?,my-witnesses-are-residing-in-a-different-country-from-me-can-i-appoint-them-as-witnesses-for-my-cpf-nomination,"Yes, you can make an online nomination and appoint them as your witnesses as long as they meet the criteria to be a witness and have a valid Singpass.   Once you have decided on your witnesses, you should contact them and inform them of your intention to make a nomination. You should request that they confirm this when asked to do so by CPF Board."
What do I need to do before I sell or transfer my property?,what-do-i-need-to-do-before-i-sell-or-transfer-my-property,"If you are planning to sell or transfer your property, there are a few matters you need to complete beforehand. The steps you need to take depend on the type of property you own.   For HDB flat   You will need to check with HDB to see if you are eligible to sell or transfer your flat. Once you have received their consent, either HDB or your lawyer (if you have one) will check with the Board on the amount, if any, that needs to be refunded to your CPF account.   For private property   You will need to instruct your lawyer to obtain consent from the Board before you sell or transfer your property."
How long does it take to process the refunds from sale of my property to my CPF account?,how-long-does-it-take-to-process-the-refunds-from-sale-of-my-property-to-my-cpf-account,Please refer to the table for our service standards for processing the refunds from the sale of your property to your CPF account   Service Normal Processing Time Process refund from sale of property to CPF account Within fifteen working days upon receipt of funds This includes the time to clear cheque/cashier's order.
"If I did not use my CPF savings for my property, do I have to top up my Retirement Account upon sale of my property?",if-i-did-not-use-my-cpf-savings-for-my-property-do-i-have-to-top-up-my-retirement-account-upon-sale-of-my-property,You do not have to top up your Retirement Account as you have never used your CPF savings for the property purchase.
Is there any accrued interest on the amount of CPF savings used for my property?,is-there-any-accrued-interest-on-the-amount-of-cpf-savings-used-for-my-property,"Interest will accrue on the amount of CPF savings that you have used for your property. You are required to refund the accrued interest together with the CPF principal amount withdrawn when you sell, transfer or dispose your property."
I am not taking any loan to buy my property. Must I still produce a valuation report if I want to use my CPF savings to buy my property?,i-am-not-taking-any-loan-to-buy-my-property-must-i-still-produce-a-valuation-report-if-i-want-to-use-my-cpf-savings-to-buy-my-property,"Even if you are not taking a loan to buy your property, you will still need to produce a valuation report if you want to use your CPF savings to purchase the property. This report helps us determine the maximum amount of CPF savings you can use for your property.   If you are buying an HDB flat, we will only accept the valuation determined by HDB, which should not be more than three months from the date of your application.   If you are buying a private property, we will only accept a valuation report conducted by a licensed valuer, which should also not be more than three months from the date of your property purchase."
How do I check my outstanding Housing & Development Board (HDB) loan?,how-do-i-check-my-outstanding-housing-development-board-hdb-loan,"For issues related to your Housing & Development Board (HDB) flat, such as checking your outstanding HDB loan, please visit HDB's website ."
Can I make a CPF nomination if I am a bankrupt?,can-i-make-a-cpf-nomination-if-i-am-a-bankrupt,"Even if you are bankrupt, you should make a CPF nomination if you want your CPF savings to be distributed according to your wishes.   If you do not make a CPF nomination, your CPF savings will be transferred to the Public Trustee's Office for distribution to your family member(s) in accordance with the intestacy laws or inheritance certificate (for Muslims) in Singapore. This ensures that the welfare of your dependants is provided for."
The courts ordered my ex-spouse and I to make our CPF refunds from our respective share of sale proceeds. My share is insufficient. Can I waive the shortfall in refund?,the-courts-ordered-my-ex-spouse-and-i-to-make-our-cpf-refunds-from-our-respective-share-of-sale-proceeds-my-share-is-insufficient-can-i-waive-the-shortfall-in-refund,"No, full requisite CPF refunds must be made in accordance with CPF legislation upon the sale of the property in a divorce. If your (or your ex-spouse’s) respective share of sale proceeds are not enough to cover the required refunds to your CPF account, you will need to make up the shortfall in cash.   If you and your ex-spouse are unable to proceed with the sale of the property, please seek legal advice on how your proprietary share in the matrimonial asset can be satisfied."
How long will CPF Board take to give effect to the court order?,how-long-will-cpf-board-take-to-give-effect-to-the-court-order,"Upon receipt of your court order, the Board will generally take two to three weeks to give effect to the court order. As court orders differ in complexity, the CPF Board will need to review the relevant orders and will keep the lawyers and parties informed on the progress of the matter.   We will upload the replies to you and your ex-spouse via your registered email address in our record or  Mailbox for members. An SMS will be sent to the Mailbox recipient's mobile number in our record. For law firms and the Legal Aid Bureau, we will reply via their registered email address."
I have made a voluntary refund. Do I still need to refund to my CPF account when I sell my property?,i-have-made-a-voluntary-refund-do-i-still-need-to-refund-to-my-cpf-account-when-i-sell-my-property,"The amount that you have to refund upon selling your property depends on how much you have voluntarily refunded:   If you have fully refunded all the CPF savings you have withdrawn for your property with accrued interest, you do not need to make any refunds If you have partially refunded the CPF savings you have withdrawn for your property with accrued interest, you will need to refund the balance CPF savings you have used with interest When a property is sold, the selling price will generally will be used to pay the following in this order:   1. Outstanding housing loan 2. Required CPF refund 3. Other sale expenses, e.g., legal fees; If the selling price (including the option monies) after paying the outstanding housing loan is not enough to make the required CPF refund, you do not need to top up the shortfall in cash as long as the property is sold at market value.   However, the option monies (e.g. option fee and option exercise fee) received from your buyer in cash upon the sale of your property are considered part of the selling price and need to be refunded to your co-owner’s and your CPF accounts before the transaction can be completed.   The refunded amount will be returned to your co-owner's and your CPF accounts in the following proportions:   Amount returned to owner A’s CPF Account: Amount returned to owner B’s CPF Account:"
Will the deceased member's CPF savings be used to pay his income tax liabilities?,will-the-deceased-member-s-cpf-savings-be-used-to-pay-his-income-tax-liabilities,"No, the deceased member’s CPF savings will not be used to pay his income tax liabilities. This is because CPF savings do not form part of the deceased member’s estate."
What happens to the deceased member's property bought using his CPF savings?,what-happens-to-the-deceased-member-s-property-bought-using-his-cpf-savings,The CPF savings used to buy the property need not be refunded to the deceased member’s CPF account. The property will form part of his estate if it is held in tenancy-in-common or passed on to the remaining surviving owner(s) if it is held in joint tenancy.
I have bought an annuity in place of the retirement sum when I turned 55. Will my nominees receive the remaining guaranteed sum from my annuity when I pass away?,i-have-bought-an-annuity-in-place-of-the-retirement-sum-when-i-turned-55-will-my-nominees-receive-the-remaining-guaranteed-sum-from-my-annuity-when-i-pass-away,"If you had bought an annuity in place of the retirement sum when you turned 55, your nominees will receive the remaining guaranteed sum from your annuity when you pass away."
I have bought an annuity in place of the retirement sum when I turned 55. Will my nominees receive the remaining guaranteed sum from my annuity when I pass away?,i-have-bought-an-annuity-in-place-of-the-retirement-sum-when-i-turned-55-will-my-nominees-receive-the-remaining-guaranteed-sum-from-my-annuity-when-i-pass-away,"If you had bought an annuity in place of the retirement sum when you turned 55, your nominees will receive the remaining guaranteed sum from your annuity when you pass away."
"If I have not made a CPF nomination at the point of my passing, what will be distributed to my family under intestacy laws?",if-i-have-not-made-a-cpf-nomination-at-the-point-of-my-passing-what-will-be-distributed-to-my-family-under-intestacy-laws,"If you have not made a CPF nomination at the point of your passing, we will pay the savings in your Ordinary, Special, MediSave and Retirement Accounts to the Public Trustee’s Office for distribution to your family member(s) in accordance with the intestacy laws or inheritance certificate (for Muslims) in Singapore."
"If I have not made a CPF nomination at the point of my passing, what will be distributed to my family under intestacy laws?",if-i-have-not-made-a-cpf-nomination-at-the-point-of-my-passing-what-will-be-distributed-to-my-family-under-intestacy-laws,"If you have not made a CPF nomination at the point of your passing, we will pay the savings in your Ordinary, Special, MediSave and Retirement Accounts to the Public Trustee’s Office for distribution to your family member(s) in accordance with the intestacy laws or inheritance certificate (for Muslims) in Singapore."
Do I need to authorise specific person(s) to access my CPF account information when I pass away?,do-i-need-to-authorise-specific-person-s-to-access-my-cpf-account-information-when-i-pass-away,"From 1 February 2024, nominees and eligible family members under intestacy laws will be allowed to access your CPF account information, after your passing.   With this change, there is no longer a need for you to authorise your loved ones to access your CPF account information upon demise."
How is the CPF contribution rate applied when my employee moves to the next age group?,how-is-the-cpf-contribution-rate-applied-when-my-employee-moves-to-the-next-age-group,"The contribution rates of your employee aged above 55, 60, 65 or 70 years shall be applied from the first day of the month after the month of his 55 th , 60 th , 65 th or 70 th birthday. Example: Your employee’s 55 th birthday falls on 13 January 2024. CPF contribution rate For wages earned in January 2024 (55 years and below) For wages earned in February 2024 (Above 55 to 60 years) 37% of total wages (>$750) (Employer's share = 17%; Employee's share = 20%) 31% of total wages (>$750) (Employer's share = 15%; Employee's share = 16%) Note: The employee is deemed to have attained 55 years of age on his 55 th birthday and would be classified in the ""55 years and below"" age group; and deemed to be above 55 years old on the day after his 55 th birthday. As the contribution rates are applicable on a monthly basis, he will be classified in the ""Above 55 to 60 years"" age group in the month after his 55 th birthday i.e. month of February 2024."
What will happen to my CPF Investment Scheme (CPFIS) investments if I leave Singapore permanently and withdraw all my CPF monies?,what-will-happen-to-my-cpf-investment-scheme-cpfis-investments-if-i-leave-singapore-permanently-and-withdraw-all-my-cpf-monies,"For CPF Investment Scheme-Ordinary Account (CPFIS-OA), we will inform the agent bank to close your CPF Investment Account. The agent bank will contact you for the withdrawal of your investments and cash balance (if any) in your CPF Investment Account. Your investments will be transferred* to your own name and you may thereafter continue servicing your investments using cash or liquidate them as you wish and have the sale proceeds paid to you directly.   * Central Depository (Pte) Ltd (“CDP”) imposes a transfer fee of $10.00 (excluding GST) for every share counter transferred from your CPF Investment Account to your CDP Account.   For CPF Investment Scheme-Special Account (CPFIS-SA), we will inform your product provider(s) to transfer your investments to your own name and you may thereafter liquidate them as you wish and have the sale proceeds paid to you directly.   Once withdrawn, your CPFIS investments and cash balance in your CPF Investment Account will no longer be protected from any claims by your creditors and/or the Official Assignee."
"Are CPF contributions payable on COVID-19 allowance given to my employees to defray their transport, meal, lodging and utility expenses as they are required to work at a different location?",are-cpf-contributions-payable-on-covid-19-allowance-given-to-my-employees-to-defray-their-transport-meal-lodging-and-utility-expenses-as-they-are-required-to-work-at-a-different-location,"CPF contributions are payable on COVID-19 allowance given to your employees.   CPF contributions are not payable on cash payment given to defray your employees’ transport, meal, lodging or utility expenses if they are required to work at a different location (not their normal place of work) provided that the following conditions are fulfilled:   a. The payment is provided in the form of reimbursement based on actual expenditure of which proof must be shown;   b. The reimbursement does not increase the employees’ wages; and   c. Your employees are only entitled to such reimbursements based on their continued attendance at employment and work in Singapore of which transport, meal, lodging and utility expenses would be incurred due to the COVID-19 situations, e.g. lockdown, Work From Home, Leave Of Absence or relocation to other site."
How long will it take for the withdrawal amount to be refunded to the deceased's CPF account if the PayNow transaction was unsuccessful?,how-long-will-it-take-for-the-withdrawal-amount-to-be-refunded-to-the-deceased-s-cpf-account-if-the-paynow-transaction-was-unsuccessful,The amount will be returned to the deceased's CPF account generally within two working days.
What are the changes to the CPF contribution rates for senior workers that will take effect from 1 January 2024?,what-are-the-changes-to-the-cpf-contribution-rates-for-senior-workers-that-will-take-effect-from-1-january-2024,"To strengthen senior workers’ retirement adequacy, the Tripartite Workgroup on Older Workers had recommended in 2019 that CPF contribution rates for senior workers aged above 55 to 70 years be raised gradually to help senior workers save more for retirement. The first two steps of increases took effect on 1 January 2022 and 1 January 2023. The Government continued to raise the senior worker contribution rates in 2024 with a long-term target to have the full increase rolled out by 2030. The changes to the CPF contribution rates from 1 January 2024 are shown below: For employees earning monthly wages exceeding $750   Employee's age (years) CPF Contribution Rates from 1 January 2024 2023 Total (% of wage) Total (% of wage) By employer (% of wage) By employee (% of wage) 55 and below 37 37 17 20 Above 55 to 60 29.5 31 (+1.5) 15 (+0.5) 16 (+1) Above 60 to 65 20.5 22 (+1.5) 11.5 (+0.5) 10.5 (+1) Above 65 to 70 15.5 16.5 (+1) 9 (+0.5) 7.5 (+0.5) Above 70 12.5 12.5 7.5 5 (a) The increase in the CPF contribution rates is fully allocated to the Special Account to help senior workers save more for retirement. (b) For those earning monthly wages of more than $500 to $750, the employee contribution rates continue to be phased in. (c) There were no changes to the graduated contribution rates for first and second year Singapore Permanent Residents."
"What are the retirement sums - Basic Retirement Sum (BRS), Full Retirement Sum (FRS) and Enhanced Retirement Sum (ERS)?",what-are-the-retirement-sums-basic-retirement-sum-brs-full-retirement-sum-frs-and-enhanced-retirement-sum-ers,"Planning for your retirement is easier with the retirement sums – Basic Retirement Sum (BRS), Full Retirement Sum (FRS), and Enhanced Retirement Sum (ERS). They provide a guide on the CPF savings you need to reach your desired monthly payouts in retirement .   The BRS is meant to provide you with monthly payouts in retirement to cover basic living needs, excluding rental expenses.   The FRS is two times of BRS and can provide you with higher monthly payouts that also cover rental expenses. That is why when you turn 55, your CPF savings up to your FRS is set aside in your Retirement Account (RA) to provide you with monthly payouts in retirement.   If you own a property in Singapore with remaining lease that lasts you until you are 95 or older, you have the flexibility to meet your FRS with a mixture of property (up to half your FRS) and cash, and can apply to withdraw part of your RA savings down to your BRS using your property .   If you wish to receive even higher payouts for your desired retirement lifestyle, you can choose to set aside more by making a top-up , up to the current ERS . The ERS is the maximum amount that you can top up to your RA, and is increased yearly for those who wish to receive higher payouts. From 2025, the  ERS will be raised from 3 times the BRS to 4 times to enable members to voluntarily commit more savings for even higher payouts. To find out how much you can top up, log in to your  Retirement dashboard .   See what are the retirement sums applicable to you .   Ultimately, how much you set aside depends on your CPF balances and desired monthly payouts. It’s important to plan ahead by assessing how much payouts you need to meet your expenses in retirement. Find out using the  Monthly payout estimator ."
"What are the retirement sums - Basic Retirement Sum (BRS), Full Retirement Sum (FRS) and Enhanced Retirement Sum (ERS)?",what-are-the-retirement-sums-basic-retirement-sum-brs-full-retirement-sum-frs-and-enhanced-retirement-sum-ers,"Planning for your retirement is easier with the retirement sums – Basic Retirement Sum (BRS), Full Retirement Sum (FRS), and Enhanced Retirement Sum (ERS). They provide a guide on the CPF savings you need to reach your desired monthly payouts in retirement .   The BRS is meant to provide you with monthly payouts in retirement to cover basic living needs, excluding rental expenses.   The FRS is two times of BRS and can provide you with higher monthly payouts that also cover rental expenses. That is why when you turn 55, your CPF savings up to your FRS is set aside in your Retirement Account (RA) to provide you with monthly payouts in retirement.   If you own a property in Singapore with remaining lease that lasts you until you are 95 or older, you have the flexibility to meet your FRS with a mixture of property (up to half your FRS) and cash, and can apply to withdraw part of your RA savings down to your BRS using your property .   If you wish to receive even higher payouts for your desired retirement lifestyle, you can choose to set aside more by making a top-up , up to the current ERS . The ERS is the maximum amount that you can top up to your RA, and is increased yearly for those who wish to receive higher payouts. From 2025, the  ERS will be raised from 3 times the BRS to 4 times to enable members to voluntarily commit more savings for even higher payouts. To find out how much you can top up, log in to your  Retirement dashboard .   See what are the retirement sums applicable to you .   Ultimately, how much you set aside depends on your CPF balances and desired monthly payouts. It’s important to plan ahead by assessing how much payouts you need to meet your expenses in retirement. Find out using the  Monthly payout estimator ."
Can I choose to transfer my CPF savings partially when my CPF account is closed?,can-i-choose-to-transfer-my-cpf-savings-partially-when-my-cpf-account-is-closed,"No, your CPF savings will be paid to you in full."
Do I have to go to Singapore to cancel my Permanent Resident status if I am closing my CPF account upon leaving Singapore?,do-i-have-to-go-to-singapore-to-cancel-my-permanent-resident-status-if-i-am-closing-my-cpf-account-upon-leaving-singapore,"To check the procedure for cancelling your Permanent Resident status for the purpose of closing your CPF account upon leaving Singapore, you can contact Immigration & Checkpoints Authority (ICA) at 6391 6100 or  email  them."
What can I do if I have not received my cheque or my cheque has expired?,what-can-i-do-if-i-have-not-received-my-cheque-or-my-cheque-has-expired,"Please notify the Board via Write to Us  if you have not received your cheque within four months from the point of form submission.   Should there be any exceptions, please note that you will need to bear all administrative charges following the re-issuance of the cheque."
What if a non-Singapore Citizen or non-Permanent Resident with a CPF account has passed away before he had closed his account and transferred all his CPF savings?,what-if-a-non-singapore-citizen-or-non-permanent-resident-with-a-cpf-account-has-passed-away-before-he-had-closed-his-account-and-transferred-all-his-cpf-savings,"The next of kin will have to  inform CPF Board of his passing  with the original death certificate. Thereafter, the deceased’s remaining savings will be  distributed to his beneficiaries , depending on whether he had made a valid CPF nomination before his passing."
What happens if I am unable to pay CPF contributions on time due to COVID-19?,what-happens-if-i-am-unable-to-pay-cpf-contributions-on-time-due-to-covid-19,"The due date for CPF contributions is on the last day of the calendar month. Enforcement action would be taken against employers who fail to pay by the 14 th of the following month (or the next working day if the 14 th falls on a Saturday, Sunday or Public Holiday). This includes imposing late payment interest charged at 1.5% per month commencing from the first day after the due date. Timely payment of CPF contributions is important for employees to meet their housing, retirement and healthcare needs. Nevertheless, we appreciate that the COVID-19 situation is extremely challenging and difficult for businesses in some sectors. Apart from the support measures announced by the Government at Singapore Budget 2020, companies facing cash flow issues can explore the following options to keep their businesses viable: Tapping on training support schemes to send their employees for training and upskilling and receive absentee payroll funding ; Making adjustments to work arrangements with or without wage cuts; Making direct adjustments to wages; or Putting employees on no-pay leave. Employers can refer to the Tripartite Advisory on Managing Excess Manpower and Responsible Retrenchment for guidance on the appropriate measures to cope with cash flow issues and manage excess manpower. You may also wish to look out for the additional support measures for workers and businesses in response to the COVID-19 pandemic that the Government announced at Singapore Budget 2021:   COVID-19 Resilience Package ."
Why are the employee's contribution rates lower/different for those earning total monthly wages of more than $500 but less than $750?,why-are-the-employee-s-contribution-rates-lower-different-for-those-earning-total-monthly-wages-of-more-than-500-but-less-than-750,"For employees earning total monthly wage of more than $500 but less than $750, the employee’s share of CPF contributions are computed based on phased-in rates to avoid a sudden drop in the employees’ take home pay when there is an increase in wage. You can use our CPF Contribution Calculator to calculate the CPF contributions applicable to your employees."
When will the top-ups received in my CPF Special/Retirement Account start to earn interest?,when-will-the-top-ups-received-in-my-cpf-special-retirement-account-start-to-earn-interest,"If you receive a cash top-up this month, it will start earning interest in the next month.   For CPF transfers of existing CPF savings, you will start earning interest in your account from this month. However, if the CPF savings are fresh injections, it will start earning interest in your account from the next month."
I have set up a new company and transferred my existing employees to that company. Do I need to apply for a new CPF Submission Number (CSN)?,i-have-set-up-a-new-company-and-transferred-my-existing-employees-to-that-company-do-i-need-to-apply-for-a-new-cpf-submission-number-csn,"You will need to apply for a new CPF Submission Number (CSN) in order to make CPF contributions for a new company. The CSN is made up of the Unique Entity Number (UEN) and CPF Payment Code, which are unique to the entity.   You can apply for a new CSN on the CPF website, and once processed, a new CSN will be issued. Please provide the employees' account information when making the first payment under the new CSN, as CPF Board is unable to transfer the details from the old CSN. Refer to the "" Apply for CSN and Setup CPF EZPay Quick Guide "" for more information on CSN application.   You will also need to inform the Board if you cease to engage any employees under the old UEN to prevent late payment penalties."
Why was the cash top-up to my / my loved one's Special or Retirement Account refunded or partially refunded?,why-was-the-cash-top-up-to-my-my-loved-one-s-special-or-retirement-account-refunded-or-partially-refunded,Your top-up was refunded as you / your loved one had received other inflows at the same time as the cash top-up was made. These inflows had resulted in you / your loved one to meet the current Full Retirement Sum or Enhanced Retirement Sum (for members age 55 or above).
"I was ineligible for Matched Retirement Savings Scheme for the past few years after turning 71 years old. With the lifting of the age cap of 70 from 2025, will my eligibility be revised for the past few years?",i-was-ineligible-for-matched-retirement-savings-scheme-for-the-past-few-years-after-turning-71-years-old-with-the-lifting-of-the-age-cap-of-70-from-2025-will-my-eligibility-be-revised-for-the-past-few-years,"No, the enhancements start from 2025. With the lifting of the age cap, eligible seniors above 70 can make cash top-ups and receive the same amount of MRSS matching grant as those aged 55 to 70. The Government has also increased the annual matching grant amount to $2,000, compared to $600 before."
"I received Matched Retirement Savings Scheme matching grants in the past, before the $20,000 lifetime cap takes effect in early 2025. Will the past matching grants count towards this $20,000 lifetime cap?",i-received-matched-retirement-savings-scheme-matching-grants-in-the-past-before-the-20-000-lifetime-cap-takes-effect-in-early-2025-will-the-past-matching-grants-count-towards-this-20-000-lifetime-cap,"The enhancements to the Matched Retirement Savings Scheme are effective from 2025 and thus, the lifetime cap will only be applied from 2025 onwards. Matching grants received in the past for cash top-ups made prior to 2025, will not count towards the $20,000 lifetime cap."
When should I submit the application for excess contribution on Additional Wages?,when-should-i-submit-the-application-for-excess-contribution-on-additional-wages,"You should submit it when the employee's Total Wages for the year are known, usually after the contribution payment for December or in the last month of employment."
My Singapore Permanent Resident employee contributed CPF at a higher rate than stipulated ones in his previous employment. Am I required to pay CPF at the higher rate?,my-singapore-permanent-resident-employee-contributed-cpf-at-a-higher-rate-than-stipulated-ones-in-his-previous-employment-am-i-required-to-pay-cpf-at-the-higher-rate,"The higher contribution rate ceases upon a change of employment within the first two years of obtaining Singapore Permanent Resident (SPR) status i.e. the rates will go back to the graduated rates . Therefore, there is no need to contribute CPF at higher rates.   If you and your SPR employee wish to contribute at higher rates, you can submit a joint application with your SPR employee based on your entity type:   For UEN-registered entities   For individuals trading under own name"
What should I do if I am unable to pay my employees their CPF contributions on time?,what-should-i-do-if-i-am-unable-to-pay-my-employees-their-cpf-contributions-on-time,"It is the employer’s obligation to ensure that CPF contributions are paid on time and to communicate the CPF contributions payment dates to your employees. Your employees have the right to check with you on the non-payment of their CPF contributions, including asking for an explanation and when you will be making payment. CPF contributions are important to employees for their housing, healthcare and retirement needs. Information on the payment date and amount of CPF contributions will help them to manage their financial needs and commitments.   If you are unable to pay your employees their CPF contributions on time, you have to ensure that the CPF arrears are paid as soon as possible and that the CPF contributions are accorded priority amongst the company’s outstanding payments. You should also inform your employees beforehand the reasons for being late and when they can expect the payment.   CPF Board takes a serious view of employers who default on CPF contributions. The due date for CPF contributions is on the last day of the calendar month. Enforcement action would be taken against employers who fail to pay by the 14 th of the following month (or the next working day if the 14 th falls on a Saturday, Sunday or Public Holiday). This includes imposing late payment interest charged at 1.5% per month commencing from the first day after the due date.   Find out more on your obligations as an employer under the CPF Act and the Employment Act at the  Workright website ."
"With the increase in Ordinary Wage ceiling from September 2023, how should I compute the Additional Wage ceiling?",with-the-increase-in-ordinary-wage-ceiling-from-september-2023-how-should-i-compute-the-additional-wage-ceiling,"If your employee is earning monthly Ordinary Wages (OW) that are above $6,000, the estimated Additional Wage (AW) ceiling for the year 2023 should be $102,000 – ($6,000 x 8) – ($W x 4) where W is capped at the Ordinary Wage (OW) ceiling of $6,300 from September 2023.   For example, if your employee’s monthly OW is $7,000, the estimated AW ceiling for 2023 will be $28,800 instead of $30,000. You should pay CPF contributions on the AW up to $28,800.   If your employee is earning monthly OW that are $6,000 or below, the estimated AW ceiling will not be affected by the increase in OW ceiling."
What are the benefits of receiving my CPF savings via PayNow?,what-are-the-benefits-of-receiving-my-cpf-savings-via-paynow,"With PayNow, you can generally receive your CPF savings in your NRIC-linked bank account   almost instantly . It is also hassle-free as you do not need to provide bank account details or supporting documents for us to verify your bank account."
How long will it take for me to receive my CPF savings via PayNow?,how-long-will-it-take-for-me-to-receive-my-cpf-savings-via-paynow,"If your application is successful, you will generally receive the payment in your NRIC-linked bank account  almost instantly ."
How can my family member authorise the Board to deduct my Home Protection Scheme premium from their CPF Ordinary Account?,how-can-my-family-member-authorise-the-board-to-deduct-my-home-protection-scheme-premium-from-their-cpf-ordinary-account,"Your family member (that is your spouse, parent, child or sibling) who co-owns the flat with you can authorise us to use their CPF Ordinary Account savings online using their Singpass to pay for your Home Protection Scheme premium."
How do I check if my property lease is able to last me until I am 95?,how-do-i-check-if-my-property-lease-is-able-to-last-me-until-i-am-95,"You can check the remaining lease of your HDB property via the Housing and Development Board (HDB) website , or the Singapore Land Authority (SLA) website for private property."
When can I apply to pay CPF contribution at a higher rate for my Singapore Permanent Resident employee?,when-can-i-apply-to-pay-cpf-contribution-at-a-higher-rate-for-my-singapore-permanent-resident-employee,You can start applying from the day your employee become a Singapore Permanent Resident.
Must I contribute CPF at a higher rate for my Singapore Permanent Resident employee?,must-i-contribute-cpf-at-a-higher-rate-for-my-singapore-permanent-resident-employee,"You are not required to contribute CPF at a higher rate for your Singapore Permanent Resident (SPR) employee who is in the first two years of his SPR status. However, you are required to contribute CPF at the graduated rates.   If you and your SPR employee wish to contribute at higher rates, you can submit a joint application with your SPR employee based on your entity type:   For UEN-registered entities   For individuals trading under own name"
What if I lose my Home Protection Scheme (HPS) certificate containing my HPS cover details?,what-if-i-lose-my-home-protection-scheme-hps-certificate-containing-my-hps-cover-details,"You would not need to provide the Home Protection Scheme (HPS) certificate as a supporting document for any purpose, including making a claim under HPS. You can view your HPS coverage information under “Protection against losing your home” via the Home ownership dashboard .   Alternatively, if you require further clarification on your HPS coverage details, you may  write to us and select “Housing/Property” as the  Subject and “General Enquiry – Home Protection Scheme” as the Category ."
How can I contribute more CPF for my employee who just obtained his Singapore Permanent Resident (SPR) status?,how-can-i-contribute-more-cpf-for-my-employee-who-just-obtained-his-singapore-permanent-resident-spr-status,You and your employee can contribute CPF at higher rates in the first two years after your employee has obtained Singapore Permanent Resident (SPR) status.   There are two options available:   1. You and your employee both contribute at full rates; or   2. You contribute at full rates while your employee continues to contribute at graduated rates.   You can submit a joint application with your SPR employee based on your entity type:   For UEN-registered entities   For individuals trading under own name
"If my property is co-owned, does my co-owner need to be present at CPF Service Centre when I am making the property pledging withdrawal?",if-my-property-is-co-owned-does-my-co-owner-need-to-be-present-at-cpf-service-centre-when-i-am-making-the-property-pledging-withdrawal,"No, only you need to be present at CPF Service Centre. However, you must bring along the original completed co-owner consent form."
How does the closure of Special Account affect my voluntary top-ups to my three CPF accounts?,how-does-the-closure-of-special-account-affect-my-voluntary-top-ups-to-my-three-cpf-accounts,"If you are below age 55, your voluntary top-ups to three accounts will continue to be allocated to the Ordinary Account (OA), Special Account (SA), and MediSave Account.   If you are aged 55 and above, the portion of voluntary top-ups that goes to your SA currently will be allocated to your Retirement Account (RA) up to the Full Retirement Sum. Once you have set aside the Full Retirement Sum in your RA, it will be allocated to your OA."
How do I update CPF Board of any changes to my entity's particulars?,how-do-i-update-cpf-board-of-any-changes-to-my-entity-s-particulars,"You can update the particulars of your entity as follows:   (i) Principal place of business and contact details:   Login using your Singpass and go to  Account settings . You can update your business address or contact details of the owner/employer representative and persons in charge of CPF contribution matters.   If you are an individual trading under your own name, you can only update the particulars for your own CSN.   (ii) Employer name:   Write to us to update the details if you have recently made changes to the entity's name through your Unique Entity Number (UEN) issuance agency or the Immigration & Checkpoints Authority."
What happens to my CPF LIFE plan if I am approved to withdraw under the Reduced Life Expectancy scheme?,what-happens-to-my-cpf-life-plan-if-i-am-approved-to-withdraw-under-the-reduced-life-expectancy-scheme,"If you are approved to withdraw your retirement savings under the Reduced Life Expectancy scheme, you can decide whether to:   (i) terminate your CPF LIFE plan and receive a refund of the premium balance (if applicable); or   (ii) keep your CPF LIFE plan and receive monthly payouts for as long as you live."
